atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster33,Ward,df_AbioticsDistance,162323.114241605
AtLeastIn1,PG,Cluster33,Medoid,df_LatDephtDistance,30511.1544199529
AtLeastIn1,PG,Cluster33,Medoid,df_AbioticsDistance,129066.996588303
AtLeastIn1,PG,Cluster34,Ward,df_LatDephtDistance,29750.9924379391
AtLeastIn1,PG,Cluster34,Ward,df_AbioticsDistance,161932.62305914
AtLeastIn1,PG,Cluster34,Medoid,df_LatDephtDistance,27205.0803011829
AtLeastIn1,PG,Cluster34,Medoid,df_AbioticsDistance,127482.760584586
AtLeastIn1,PG,Cluster35,Ward,df_LatDephtDistance,27886.7008204994
AtLeastIn1,PG,Cluster35,Ward,df_AbioticsDistance,148644.262928271
AtLeastIn1,PG,Cluster35,Medoid,df_LatDephtDistance,27160.7695256595
AtLeastIn1,PG,Cluster35,Medoid,df_AbioticsDistance,126437.296382285
AtLeastIn1,PG,Cluster36,Ward,df_LatDephtDistance,27842.390044976
AtLeastIn1,PG,Cluster36,Ward,df_AbioticsDistance,147598.79872597
AtLeastIn1,PG,Cluster36,Medoid,df_LatDephtDistance,25116.8049971575
AtLeastIn1,PG,Cluster36,Medoid,df_AbioticsDistance,123078.311324347
AtLeastIn1,PG,Cluster37,Ward,df_LatDephtDistance,24524.1497343768
AtLeastIn1,PG,Cluster37,Ward,df_AbioticsDistance,128308.354481548
AtLeastIn1,PG,Cluster37,Medoid,df_LatDephtDistance,24217.0917834797
AtLeastIn1,PG,Cluster37,Medoid,df_AbioticsDistance,112622.101718121
AtLeastIn1,PG,Cluster38,Ward,df_LatDephtDistance,24160.1915342231
AtLeastIn1,PG,Cluster38,Ward,df_AbioticsDistance,125218.264030604
AtLeastIn1,PG,Cluster38,Medoid,df_LatDephtDistance,22111.6427157222
AtLeastIn1,PG,Cluster38,Medoid,df_AbioticsDistance,101242.994497426
AtLeastIn1,PG,Cluster39,Ward,df_LatDephtDistance,22957.7665529298
AtLeastIn1,PG,Cluster39,Ward,df_AbioticsDistance,118149.69247594
AtLeastIn1,PG,Cluster39,Medoid,df_LatDephtDistance,21376.0737482706
AtLeastIn1,PG,Cluster39,Medoid,df_AbioticsDistance,90657.599310284
AtLeastIn1,PG,Cluster40,Ward,df_LatDephtDistance,20943.6554273964
AtLeastIn1,PG,Cluster40,Ward,df_AbioticsDistance,95178.3235470518
AtLeastIn1,PG,Cluster40,Medoid,df_LatDephtDistance,20935.7851273345
AtLeastIn1,PG,Cluster40,Medoid,df_AbioticsDistance,90051.7673263192
AtLeastIn1,PG,Cluster41,Ward,df_LatDephtDistance,20353.3154540707
AtLeastIn1,PG,Cluster41,Ward,df_AbioticsDistance,94613.1269339804
AtLeastIn1,PG,Cluster41,Medoid,df_LatDephtDistance,20121.7758053978
AtLeastIn1,PG,Cluster41,Medoid,df_AbioticsDistance,88906.2717829648
