atleast,agglevel,clusters,method,dimension,TotalSum,AlphaGeo
AtLeastIn1,PG,Cluster48,Medoid,df_AbioticsDistance,69891.1928981657,0
AtLeastIn1,PG,Cluster49,Ward,df_LatDephtDistance,73230.8212328624,0
AtLeastIn1,PG,Cluster49,Ward,df_AbioticsDistance,71789.0687544318,0
AtLeastIn1,PG,Cluster49,Medoid,df_LatDephtDistance,71329.0804313903,0
AtLeastIn1,PG,Cluster49,Medoid,df_AbioticsDistance,69870.7385135985,0
AtLeastIn1,PG,Cluster50,Ward,df_LatDephtDistance,72366.1053706992,0
AtLeastIn1,PG,Cluster50,Ward,df_AbioticsDistance,71016.8737404455,0
AtLeastIn1,PG,Cluster50,Medoid,df_LatDephtDistance,66630.0109571943,0
AtLeastIn1,PG,Cluster50,Medoid,df_AbioticsDistance,65152.4583616332,0
AtLeastIn1,SG1,Cluster01,Ward,df_LatDephtDistance,4727427.47974437,0
AtLeastIn1,SG1,Cluster01,Ward,df_AbioticsDistance,4700037.26008162,0
AtLeastIn1,SG1,Cluster01,Medoid,df_LatDephtDistance,4727427.47974437,0
AtLeastIn1,SG1,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162,0
AtLeastIn1,SG1,Cluster02,Ward,df_LatDephtDistance,2205351.10385734,0
AtLeastIn1,SG1,Cluster02,Ward,df_AbioticsDistance,2177288.44261809,0
AtLeastIn1,SG1,Cluster02,Medoid,df_LatDephtDistance,2090106.83793209,0
AtLeastIn1,SG1,Cluster02,Medoid,df_AbioticsDistance,2062574.15336756,0
AtLeastIn1,SG1,Cluster03,Ward,df_LatDephtDistance,1468718.14637956,0
AtLeastIn1,SG1,Cluster03,Ward,df_AbioticsDistance,1449960.49005826,0
AtLeastIn1,SG1,Cluster03,Medoid,df_LatDephtDistance,1372079.97940341,0
AtLeastIn1,SG1,Cluster03,Medoid,df_AbioticsDistance,1358156.49151373,0
AtLeastIn1,SG1,Cluster04,Ward,df_LatDephtDistance,827086.235336316,0
AtLeastIn1,SG1,Cluster04,Ward,df_AbioticsDistance,809686.3694255,0
AtLeastIn1,SG1,Cluster04,Medoid,df_LatDephtDistance,815316.763256058,0
AtLeastIn1,SG1,Cluster04,Medoid,df_AbioticsDistance,802592.15965816,0
AtLeastIn1,SG1,Cluster05,Ward,df_LatDephtDistance,779328.103160649,0
