atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster42,Medoid,df_LatDephtDistance,5693.74348776376
AtLeastIn1,PG,Cluster42,Medoid,df_AbioticsDistance,102652.534754245
AtLeastIn1,PG,Cluster43,Ward,df_LatDephtDistance,5333.2559666636
AtLeastIn1,PG,Cluster43,Ward,df_AbioticsDistance,90573.1271519872
AtLeastIn1,PG,Cluster43,Medoid,df_LatDephtDistance,5405.05032345421
AtLeastIn1,PG,Cluster43,Medoid,df_AbioticsDistance,99851.1594141956
AtLeastIn1,PG,Cluster44,Ward,df_LatDephtDistance,5131.51127351238
AtLeastIn1,PG,Cluster44,Ward,df_AbioticsDistance,89474.77829442
AtLeastIn1,PG,Cluster44,Medoid,df_LatDephtDistance,5360.73954793083
AtLeastIn1,PG,Cluster44,Medoid,df_AbioticsDistance,98805.6952118946
AtLeastIn1,PG,Cluster45,Ward,df_LatDephtDistance,4893.90700035147
AtLeastIn1,PG,Cluster45,Ward,df_AbioticsDistance,88827.2863536677
AtLeastIn1,PG,Cluster45,Medoid,df_LatDephtDistance,5321.74804793083
AtLeastIn1,PG,Cluster45,Medoid,df_AbioticsDistance,98785.2408273275
AtLeastIn1,PG,Cluster46,Ward,df_LatDephtDistance,4695.82648972128
AtLeastIn1,PG,Cluster46,Ward,df_AbioticsDistance,88553.3865954553
AtLeastIn1,PG,Cluster46,Medoid,df_LatDephtDistance,5228.20829070594
AtLeastIn1,PG,Cluster46,Medoid,df_AbioticsDistance,97995.785066972
AtLeastIn1,PG,Cluster47,Ward,df_LatDephtDistance,4253.17940831473
AtLeastIn1,PG,Cluster47,Ward,df_AbioticsDistance,85518.607005026
AtLeastIn1,PG,Cluster47,Medoid,df_LatDephtDistance,5155.88010796482
AtLeastIn1,PG,Cluster47,Medoid,df_AbioticsDistance,95124.8833338467
AtLeastIn1,PG,Cluster48,Ward,df_LatDephtDistance,3885.0033205195
AtLeastIn1,PG,Cluster48,Ward,df_AbioticsDistance,79232.2715963034
AtLeastIn1,PG,Cluster48,Medoid,df_LatDephtDistance,4957.79959733464
AtLeastIn1,PG,Cluster48,Medoid,df_AbioticsDistance,94850.9835756343
AtLeastIn1,PG,Cluster49,Ward,df_LatDephtDistance,3840.69254499612
AtLeastIn1,PG,Cluster49,Ward,df_AbioticsDistance,78186.8073940025
AtLeastIn1,PG,Cluster49,Medoid,df_LatDephtDistance,4704.64744563456
AtLeastIn1,PG,Cluster49,Medoid,df_AbioticsDistance,90957.0766846675
AtLeastIn1,PG,Cluster50,Ward,df_LatDephtDistance,3672.2586007741
AtLeastIn1,PG,Cluster50,Ward,df_AbioticsDistance,77711.246199293
AtLeastIn1,PG,Cluster50,Medoid,df_LatDephtDistance,4217.86594254587
AtLeastIn1,PG,Cluster50,Medoid,df_AbioticsDistance,81917.3946232855
AtLeastIn1,SG1,Cluster01,Ward,df_LatDephtDistance,784802.074533109
AtLeastIn1,SG1,Cluster01,Ward,df_AbioticsDistance,4700037.26008162
AtLeastIn1,SG1,Cluster01,Medoid,df_LatDephtDistance,784802.074533109
AtLeastIn1,SG1,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162
AtLeastIn1,SG1,Cluster02,Ward,df_LatDephtDistance,346052.588776324
AtLeastIn1,SG1,Cluster02,Ward,df_AbioticsDistance,1843964.9932575
AtLeastIn1,SG1,Cluster02,Medoid,df_LatDephtDistance,440869.097723872
AtLeastIn1,SG1,Cluster02,Medoid,df_AbioticsDistance,2519094.13787477
AtLeastIn1,SG1,Cluster03,Ward,df_LatDephtDistance,154989.427584602
AtLeastIn1,SG1,Cluster03,Ward,df_AbioticsDistance,1409260.04248179
AtLeastIn1,SG1,Cluster03,Medoid,df_LatDephtDistance,181888.117249125
AtLeastIn1,SG1,Cluster03,Medoid,df_AbioticsDistance,1441435.02353869
AtLeastIn1,SG1,Cluster04,Ward,df_LatDephtDistance,138877.304254897
AtLeastIn1,SG1,Cluster04,Ward,df_AbioticsDistance,1226108.77928171
AtLeastIn1,SG1,Cluster04,Medoid,df_LatDephtDistance,133272.519689355
AtLeastIn1,SG1,Cluster04,Medoid,df_AbioticsDistance,850353.875693128
