atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster32,Medoid,df_LatDephtDistance,139930.55295634
AtLeastIn1,PG,Cluster32,Medoid,df_AbioticsDistance,129618.451616192
AtLeastIn1,PG,Cluster33,Ward,df_LatDephtDistance,170137.507642884
AtLeastIn1,PG,Cluster33,Ward,df_AbioticsDistance,162323.114241605
AtLeastIn1,PG,Cluster33,Medoid,df_LatDephtDistance,139133.926644839
AtLeastIn1,PG,Cluster33,Medoid,df_AbioticsDistance,129066.996588303
AtLeastIn1,PG,Cluster34,Ward,df_LatDephtDistance,169633.436112272
AtLeastIn1,PG,Cluster34,Ward,df_AbioticsDistance,161932.62305914
AtLeastIn1,PG,Cluster34,Medoid,df_LatDephtDistance,135411.338334657
AtLeastIn1,PG,Cluster34,Medoid,df_AbioticsDistance,127482.760584586
AtLeastIn1,PG,Cluster35,Ward,df_LatDephtDistance,155830.234908934
AtLeastIn1,PG,Cluster35,Ward,df_AbioticsDistance,148644.262928271
AtLeastIn1,PG,Cluster35,Medoid,df_LatDephtDistance,134373.613266442
AtLeastIn1,PG,Cluster35,Medoid,df_AbioticsDistance,126437.296382285
AtLeastIn1,PG,Cluster36,Ward,df_LatDephtDistance,154792.509840719
AtLeastIn1,PG,Cluster36,Ward,df_AbioticsDistance,147598.79872597
AtLeastIn1,PG,Cluster36,Medoid,df_LatDephtDistance,130316.436481707
AtLeastIn1,PG,Cluster36,Medoid,df_AbioticsDistance,123078.311324347
AtLeastIn1,PG,Cluster37,Ward,df_LatDephtDistance,135019.418676999
AtLeastIn1,PG,Cluster37,Ward,df_AbioticsDistance,128308.354481548
AtLeastIn1,PG,Cluster37,Medoid,df_LatDephtDistance,119821.141449717
AtLeastIn1,PG,Cluster37,Medoid,df_AbioticsDistance,112622.101718121
AtLeastIn1,PG,Cluster38,Ward,df_LatDephtDistance,131894.604262028
AtLeastIn1,PG,Cluster38,Ward,df_AbioticsDistance,125218.264030604
AtLeastIn1,PG,Cluster38,Medoid,df_LatDephtDistance,108069.902990322
AtLeastIn1,PG,Cluster38,Medoid,df_AbioticsDistance,101242.994497426
AtLeastIn1,PG,Cluster39,Ward,df_LatDephtDistance,124568.052771469
AtLeastIn1,PG,Cluster39,Ward,df_AbioticsDistance,118149.69247594
AtLeastIn1,PG,Cluster39,Medoid,df_LatDephtDistance,97475.4801304929
AtLeastIn1,PG,Cluster39,Medoid,df_AbioticsDistance,90657.599310284
AtLeastIn1,PG,Cluster40,Ward,df_LatDephtDistance,101493.792181159
AtLeastIn1,PG,Cluster40,Ward,df_AbioticsDistance,95178.3235470518
AtLeastIn1,PG,Cluster40,Medoid,df_LatDephtDistance,96688.3466297883
AtLeastIn1,PG,Cluster40,Medoid,df_AbioticsDistance,90051.7673263192
AtLeastIn1,PG,Cluster41,Ward,df_LatDephtDistance,100663.196716241
AtLeastIn1,PG,Cluster41,Ward,df_AbioticsDistance,94613.1269339804
AtLeastIn1,PG,Cluster41,Medoid,df_LatDephtDistance,95205.4071515932
AtLeastIn1,PG,Cluster41,Medoid,df_AbioticsDistance,88906.2717829648
AtLeastIn1,PG,Cluster42,Ward,df_LatDephtDistance,97302.9077625971
AtLeastIn1,PG,Cluster42,Ward,df_AbioticsDistance,91237.8176549571
AtLeastIn1,PG,Cluster42,Medoid,df_LatDephtDistance,93456.7945787143
AtLeastIn1,PG,Cluster42,Medoid,df_AbioticsDistance,87344.3970969403
AtLeastIn1,PG,Cluster43,Ward,df_LatDephtDistance,90306.8531084301
AtLeastIn1,PG,Cluster43,Ward,df_AbioticsDistance,84206.5339403578
AtLeastIn1,PG,Cluster43,Medoid,df_LatDephtDistance,92997.8899946937
AtLeastIn1,PG,Cluster43,Medoid,df_AbioticsDistance,86881.7917676854
AtLeastIn1,PG,Cluster44,Ward,df_LatDephtDistance,89489.1425416187
AtLeastIn1,PG,Cluster44,Ward,df_AbioticsDistance,83513.6494626443
AtLeastIn1,PG,Cluster44,Medoid,df_LatDephtDistance,88598.2303364133
AtLeastIn1,PG,Cluster44,Medoid,df_AbioticsDistance,82662.5998248495
AtLeastIn1,PG,Cluster45,Ward,df_LatDephtDistance,86956.8567269505
